dim,value,n,turnover,dividend,realized_gm,expected_gm,realized_margin,expected_margin,margin_gap,settled_turnover
event_window,prematch,6036,8857979.78,8493948.35,364031.43000000005,638007.003330339,0.041096439486340765,0.07202624291047309,-0.030929803424132325,8857979.78
event_window,quiet,3209,11718191.55,11254991.350000001,463200.20000000007,840617.7617031507,0.0395283007641226,0.07173613420776952,-0.032207833443646916,11718191.55
kind,handicap,3212,8036456.529999999,8756561.16,-720104.6299999999,458382.9590028246,-0.08960474399529912,0.057037944184938516,-0.14664268818023762,8036456.529999999
kind,totals,8046,20777369.23,19150779.29,1626589.94,1621754.8963479213,0.07828661665459559,0.07805390944327562,0.00023270721131997407,20777369.23
line_role,near theta,6969,17623250.62,16340898.77,1282351.85,1261555.1088606617,0.0727647740845667,0.07158470001152725,0.0011800740730394527,17623250.62
line_role,wing,4289,11190575.14,11566441.680000002,-375866.54,818582.7464900843,-0.03358777679410675,0.07314930075078199,-0.10673707754488874,11190575.14
matchup,high · balanced,2231,5767820.24,4949186.74,818633.5,404512.9223859956,0.14193117433215982,0.07013272008386925,0.07179845424829057,5767820.24
matchup,low · balanced,448,1153219.45,667968.6,485250.85000000003,80508.48192887753,0.42077928012747273,0.06981193555907987,0.35096734456839285,1153219.45
matchup,mid · away,441,1146250.15,1812790.2200000002,-666540.0700000001,-20725.850916419095,-0.5814961681793456,-0.01808143790988302,-0.5634147302694625,1146250.15
matchup,mid · balanced,4022,10451112.86,10869027.809999999,-417914.9499999999,727921.6587418811,-0.03998760281304626,0.06965015769065967,-0.10963776050370594,10451112.86
matchup,mid · home,900,2347945.79,2108172.87,239772.91999999998,163479.73499143517,0.10212029639747346,0.06962670760445247,0.032493588793020986,2347945.79
matchup,very_high · away,180,405339.95,489837.77999999997,-84497.83,36636.422634937975,-0.20846163818789634,0.09038443566921536,-0.2988460738571117,405339.95
matchup,very_high · balanced,3036,7542137.32,7010356.43,531780.89,687804.4855840375,0.07050798300766022,0.09119490356667723,-0.02068692055901701,7542137.32
odds_bin,1.50-1.80,1939,4868663.960000001,4717719.17,150944.78999999998,389501.4390053784,0.031003328888609506,0.08000170934068293,-0.04899838045207343,4868663.960000001
odds_bin,1.80-2.20,1870,4813920.55,3633834.3699999996,1180086.18,386631.2740644758,0.24514035238907297,0.0803152586439084,0.16482509374516457,4813920.55
odds_bin,2.20-3.00,1809,4567950.140000001,4696500.75,-128550.61000000007,354792.6106002341,-0.028141859271695126,0.07766998319299388,-0.10581184246468901,4567950.140000001
odds_bin,<1.50,3487,8837968.979999999,8328871.26,509097.72000000003,648554.5996319174,0.05760347441273777,0.07338276487500384,-0.015779290462266067,8837968.979999999
odds_bin,>3.00,2153,5725322.13,6530414.899999999,-805092.7700000006,300657.9320487401,-0.14061964579799122,0.05251371455124397,-0.19313336034923517,5725322.13
phase,1H,3273,13060007.059999999,12759387.950000001,300619.1099999999,988919.6572232037,0.02301829613252904,0.07572121919076541,-0.05270292305823637,13060007.059999999
phase,2H,1949,6895838.92,6654004.15,241834.77,453211.1947972032,0.03506966633147515,0.06572241609106542,-0.030652749759590273,6895838.92
phase,prematch,6036,8857979.78,8493948.35,364031.43000000005,638007.003330339,0.041096439486340765,0.07202624291047309,-0.030929803424132325,8857979.78
quote_age,just moved,11258,28813825.759999998,27907340.450000003,906485.31,2080137.8553507458,0.03146008161326509,0.07219235212557022,-0.04073227051230513,28813825.759999998
side,away,1601,3899097.77,3798921.4799999995,100176.29000000001,270552.1641169854,0.025692171858516903,0.06938840215770875,-0.04369623029919185,3899097.77
side,home,1611,4137358.76,4957639.68,-820280.92,187830.79488583922,-0.1982619752317539,0.04539872072535456,-0.24366069595710846,4137358.76
side,over,4016,10202042.41,8171475.26,2030567.15,796698.3896480188,0.19903535668599517,0.07809204839876947,0.1209433082872257,10202042.41
side,under,4030,10575326.82,10979304.03,-403977.2100000001,825056.5066999026,-0.03819997404108595,0.07801711670409658,-0.11621709074518254,10575326.82
